SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
ABBWRDB,ROI-A2-WR Dark Blue,Roto Industries Pty Ltd,ABBWRDB,ROI-A2-WR Dark Blue,77.96,77.96
ABBWRDG,ROI-A9-WR Dark Green,Roto Industries Pty Ltd,ABBWRDG,ROI-A9-WR Dark Green,85.42,77.96
ABBWRLB,ROI-A7-WR Light Blue,Roto Industries Pty Ltd,ABBWRLB,ROI-A7-WR Light Blue,85.42,77.96
ABBWRLG,ROI-A4-WR Lime Green,Roto Industries Pty Ltd,ABBWRLG,ROI-A4-WR Lime Green,77.96,77.96
ABBWRMB,ROI-B1-WR Mountain Blue,Roto Industries Pty Ltd,ABBWRMB,ROI-B1-WR Mountain Blue,85.42,77.96
ABBWRMO,ROI-A1-WR Monument,Roto Industries Pty Ltd,ABBWRMO,ROI-A1-WR Monument,85.42,77.96
ABBWRPU,ROI-B2-WR Purple,Roto Industries Pty Ltd,ABBWRPU,ROI-B2-WR Purple,77.96,77.96
ABBWRSR,ROI-A3-WR Stock Red,Roto Industries Pty Ltd,ABBWRSR,ROI-A3-WR Stock Red,77.96,77.96
ABBWRSW,ROI-B3-WR Stock White,Roto Industries Pty Ltd,ABBWRSW,ROI-B3-WR Stock White,85.42,77.96
ABBWRSY,ROI-A5-WR Sunset Yellow,Roto Industries Pty Ltd,ABBWRSY,ROI-A5-WR Sunset Yellow,85.42,77.96
ABBWRTE,ROI-A8-WR Teal,Roto Industries Pty Ltd,ABBWRTE,ROI-A8-WR Teal,77.96,77.96
ABBWRTO,ROI-A6-WR Tiger Orange,Roto Industries Pty Ltd,ABBWRTO,ROI-A6-WR Tiger Orange,77.96,77.96
ABEB250DB,ROI-A2-EB-250 Dark Blue,Roto Industries Pty Ltd,ABEB250DB,,39.44,37.55
ABEB250DG,ROI-A9-EB-250 Dark Green,Roto Industries Pty Ltd,ABEB250DG,,37.95,37.55
ABEB250DP,ROI-B2-EB-250 Deep Purple,Roto Industries Pty Ltd,ABEB250DP,,38.95,37.55
ABEB250LB,ROI-A7-EB-250 Light Blue,Roto Industries Pty Ltd,ABEB250LB,,38.95,37.55
ABEB250LG,ROI-A4-EB-250 Lime Green,Roto Industries Pty Ltd,ABEB250LG,,38.60,37.55
ABEB250MB,ROI-B1-EB-250 Mountain Blue,Roto Industries Pty Ltd,ABEB250MB,,42.87,37.55
ABEB250MO,ROI-A1-EB-250 Monument,Roto Industries Pty Ltd,ABEB250MO,,38.95,37.55
