SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
R133/W/TBC/FL,Stem Adaptor 3/8 x 3/8 BSP Acetal,Bredo Mators Pty. Ltd.,,Stem Adaptor 3/8 x 3/8 BSP Acetal,3.8,3.8
R134/N/FX,Foot Pedal Bracket,AG Holding,AQA1007,Universal Tap Bracket V12 - 230 p/sheet,2.6,2.8
R134/N/FX,Foot Pedal Bracket,Beta Metal Spinning Co. Pty. Ltd.,,,0,0
R139/N/35AEB/PT,Extension Base Plate Half Moon 250mm,Beta Metal Spinning Co. Pty. Ltd.,BM 03,,10,10
R14/N/1AB12/FX,Button Socket Zinc Plated M8 x 20mm,Micro Fasteners Pty. Ltd.,U27 08020ZP,M8 x 20mm Button Socket Scr ZP,0.1735,0.165
R140/N/35AEB/FX,Hex Bolts Stainless Steel M10 x 20mm (304),Micro Fasteners Pty. Ltd.,X0710020304 M10 x 20 304 S/S Hex Bolts,,0.486,0.45
R141/N/35AEB/FX,Washers Stainless Steel M10 (304),Micro Fasteners Pty. Ltd.,X80 10302.5304 M10 x 30 x 2.5 Flat Washer 304 S/S,,0.2142,0.21
R142/N/36PIG/FX,Security Key T15 Resytorx Driver Bit 12 - Dish and Mesh,Micro Fasteners Pty. Ltd.,S37 T15RTDB,,4.95,4.95
R143/N/36PIG/ID,Printable Security Key Sticker,PMS Lithography,PMSSSKC,install guide in this box Sticker_printable,0.869,0.869
R144/N/36PIG/ID,Printable Install Guide in this Box Sticker,PMS Lithography,PMSSIG,install guide in this box Sticker_printable,0.869,0.869
R145/W/37PAR/FL,Stem Adaptor 10mm x 3/8 bsp,John Guest Pacific Ltd - RWC,JG-PM051013E,,1.08,1.08
R145/W/37PAR/FL,Stem Adaptor 10mm x 3/8 bsp,Reliance Worldwide Corporation Pty. Ltd.,JG-PM051013E,,1.08,1.08
R146/W/37PAR/FL,Straight Connector Equal 10mm,John Guest Pacific Ltd - RWC,JG-PM0410E,,2.394,2.394
R146/W/37PAR/FL,Straight Connector Equal 10mm,Reliance Worldwide Corporation Pty. Ltd.,PM0410E,,2.39,2.39
R147/W/37PAR/FL,Reducer 10mm Stem - 8mm Tube,John Guest Pacific Ltd - RWC,PM061008E,10mm - 8mm REDUCER,1.674,1.674
R147/W/37PAR/FL,Reducer 10mm Stem - 8mm Tube,Reliance Worldwide Corporation Pty. Ltd.,PM061008E,10mm - 8mm REDUCER,1.6702,1.67
R148/W/37PAR/FL,Straight Connector Unequal 15mm to 3/8 tube,John Guest Pacific Ltd - RWC,JG-PM0410E,,2.08,2.08
R148/W/37PAR/FL,Straight Connector Unequal 15mm to 3/8 tube,Reliance Worldwide Corporation Pty. Ltd.,NC2511,,2.08,2.08
R149/W/38PAVA/FL,T-Piece 10mm,John Guest Pacific Ltd - RWC,JG-PM0210E,,3.292,3.292
R149/W/38PAVA/FL,T-Piece 10mm,Reliance Worldwide Corporation Pty. Ltd.,JG-PM0210E,,3.2841,3.27
R15/N/1AB12/FX,Mudguard Washers Zinc Plated for Side Pod 5/16 x 1 x 16g,Micro Fasteners Pty. Ltd.,W17 082516GZP,5/16 x 1 x 16g Steel Mudguard Washer ZP,0.0348,0.0331
R150/W/38PAVA/FL,Stem Adaptor 10mm x 1/2 bsp,John Guest Pacific Ltd - RWC,JG-PM051014E,,1.773,1.773
R150/W/38PAVA/FL,Stem Adaptor 10mm x 1/2 bsp,Reliance Worldwide Corporation Pty. Ltd.,JG-PM051014E,,1.7711,1.77
R157/N/39AIR/FL,Armaflex FRV Insulation 9mm x 1m x 1.5mt,Actrol,Actrol - 1901061,,32.08,32.08
R158/N/39AIR/FL,Insulflex Cork Insul Tape 1/8 x 2 x 30 Vct2,Actrol,Actrol - 1901061,,42.3,37.65
R159/N/1AB12/ID,Quality Check Card,FRP Printing PTY LTD,46678,Printed Card 250gsm Aquabubbler Lid Hanger,0.447,0.447
R16/N/1AB12/FX,Pan Philips Self Tapper (304) Stainless 6g x 1/2,Micro Fasteners Pty. Ltd.,X40 0612304,6g x 1/2 Pan Phillips Self GR 304,0.038,0.038
R160/N/1AB12/FX,Half Crescent Base Plate V5,AG Holding,AQA1001-AB03/V5,Half Crescent Base Plate V5 - 84/per sheet,4.75,3.6
R161/N/FX,M6 x 65mm S/S Set Screw,Cost Less Bolts,BM665SS,NS 6x65mm SS 304 SET SCREW [50],0.2699,0.2699
R162/N/FX,M6 S/S Spring Washer,Cost Less Bolts,SWM16S,16x5x3.5mm SS 304 S-W [100],0.0285,0.0255
R163/N/FX,M6 S/S Nylock Nut,Cost Less Bolts,NM6NS,6.0mm SS 304 NYLOCK NUT [100],0.0503,0.0585
R164/N/FX,M4 x 12mm Pan Phillips,Cost Less Bolts,MTM412PPHS,4x12mm SS 304 PAN PHILLIPS MTS [100],0.0455,0.0705
R165/N/FX,M7 Hex Nut,Cost Less Bolts,NM7,7.0mm HEX NUT [200],0.2432,0.2432
R166/N/FX,M6 S/S Washer,Cost Less Bolts,FWM6S,6x12x1.2mm SS 304 F-W [100],0.019,0.019
R167/W/FL,Pipe 1/4 LLDPE Tubing - Black 500ft,Reliance Worldwide Corporation Pty. Ltd.,PE-08-BI-500F-E,,58.33,52.42
R168/W/AV,BS116N70AS4020 O-Ring,BSC Motion Technology,BS116N70AS4020,BS116N70 O-Ring,0.21,0.21
R169/W/FL,Straight Adaptor 1/4 x 1/4 BSP,Reliance Worldwide Corporation Pty. Ltd.,PI010812S,,1.84,1.74
R17/N/FX,Filter Bracket,AG Holding,AQA1005,Filter Bracket V01 - 133 p/sheet,2.65,2.2
R170/W/FL,Plug 1/4 AB||26,Reliance Worldwide Corporation Pty. Ltd.,PP0808W,,0.51,0.49
R171/N/FX,12mm x 12mm Square Bar 4 metre length,Ullrich Aluminium Pty Ltd,SQR12.00MI4L,12 x 12mm Aluminium Rod 4m 6060TS Temper,2.6524,11.5
R172/N/FL,Dog Bowl DB 001 + Bracket DB 015,Beta Metal Spinning Co. Pty. Ltd.,R172/N/FL,Dog Bowl DB 001 + Bracket DB 015,182,158
R173/W/FL,Stainless Steel Service Valve 3/8 Male Female WM API1598 EN12266,SP Valves,SP2PBSPMF,2-PC Ball Valve Full Bore Threaded End 1000 WOG Size 1/4 - 1/2 ,9.3247,8.12
R174/W/FL,316 Stainless Steel Hex Reducing Nipple 1/2 BSP tapered Thread Male - 3/8 BSP Tapered Thread Male,SP Valves,BSP R/N 1/2-3/8,316 BSP HEX REDUCING NIPPLE CL150¬†,2,2
R175/N/ID,Hands Free Retro-Fit Sticker,FRP Printing PTY LTD,Hands Free Retro Fit Stickers,,0.272,0.272
R176/N/FL,Stem Elbow 3/8 - 1/4 ,Reliance Worldwide Corporation Pty. Ltd.,CI221208W,Stem Elbow 3/8 - 1/4 ,3.56,3.2
R177/N/FL,Straight Adaptor 3/8 x 3/8 bsp,Reliance Worldwide Corporation Pty. Ltd.,PI011213S,,1.9492,1.88
R178/N/FL,Female Adaptor 3/8 x 1/2 bsp - Flat End,Reliance Worldwide Corporation Pty. Ltd.,PI451214FS,3/8x1/2 Female Adaptor,3.77,3.59
R179/N/FX,H6 Base Plate with 4 Tags,AG Holding,AQA1013,600 Base Plate - 3mm Gal,29.25,29
R18/N/1AB12/ID,Card for Adjusting Water Pressure 250gsm,FRP Printing PTY LTD,,adjust water pressure Card 250gsm,0.402,0.3005
