Item SKU,Item Description,Supplier
ABT1500PU,ROI-B2-RS-1500 Purple Refill Station,ROI
ABT1500SR,ROI-A3-RS-1500 Stock Red Refill Station,ROI
ABT1500SY,ROI-A5-RS-1500 Stock Yellow Refill Station,ROI
ABT1500TE,ROI-A8-RS-1500 Teal Refill Station,ROI
R183/N/FL,Director Low Density Male Inlet 19mm X 15mm,Smart Water Corporation Pty Ltd
R33/N/2ABUA13/FL,Elbow Low Density Male Inlet 19mm X 15mm,Smart Water Corporation Pty Ltd
R92/N/24PSPA/FL,Elbow FI Low Density 19mm x 15mm,Smart Water Corporation Pty Ltd
R93/N/24PSPA/FX,Screw Poly Hex Nipple 15mm,Smart Water Corporation Pty Ltd
R173/W/FL,Stainless Steel Service Valve 3/8 Male Female WM API1598  EN12266,SP Valves
R174/W/FL,316 Stainless Steel Hex Reducing Nipple 1/2 BSP tapered Thread Male - 3/8 BSP Tapered Thread Male,SP Valves
R196/W/1AB12/FL,1/2 BSP 90 Elbow F/F 316 S/S,SP Valves
R197/W/1AB12/FL,1/2 BSP Socket F/F 316 S/S,SP Valves
R198/W/1AB12/FL,1/2 BSP Hex Nipple M/M 316 S/S,SP Valves
R199/W/1AB12/FL,1/2 BSP Equal Tee F/F/F 316 S/S,SP Valves
R201/N/1AB12/FX,1 BSP Backing Nut 316 S/S - (Tap Body Nut),SP Valves
R253/W/FL,316 Stainless Steel Hex Nipple Male / Male,SP Valves
R255/N/1AB12/FL,1/2 to 1/4 BSP Reducing Nipple - 316 S/S,SP Valves
R100/N/25PWPC/FL,Adaptor PVC MI 40mm,Tradelink Pty Ltd
R101/N/25PWPC/FL,Taper Level Invert Drain-Waste-Vent Polyvinyl Chloride 65MM x 40mm,Tradelink Pty Ltd
R102/N/25PWPC/FL,Tee Junction F&F Drain-Waste-Vent SNG Plain Polyvinyl Chloride 40mm x 88Deg WMKA1305,Tradelink Pty Ltd
R103/N/26PWPRS/FL,Cap & Linning Drain-Waste-Vent Polyvinyl Chloride-Loose Nut Connect 40mm 010228,Tradelink Pty Ltd
R105/N/26PWPRS/FL,Pipe Drain-Waste-Vent Polyvinyl Chloride Heavy Type N 40mm x 6 MTR,Tradelink Pty Ltd
R210/N/FL,P-Trap Micro Basin PVC 40mm,Tradelink Pty Ltd
R22/N/1AB12/FL,Bend Drain-Waste-Vent Plain F&F Polyvinyl Chloride 40mm x 88 Deg WMKA1305,Tradelink Pty Ltd
R249/N/FL,40mm PVC 40 degree elbow Female to Male,Tradelink Pty Ltd
R262/N/FL,Vertical Snake-Trap with Overflow PVC 40mm,Tradelink Pty Ltd
R48/N/30PCWS2/FL,Pipe Insulated ST STD Temp Plain 6ID 9WT 2MTR,Tradelink Pty Ltd
R99/N/25PWPC/FL,S-Trap Polyvinyl Chloride 40mm WMKT1307-1,Tradelink Pty Ltd
R171/N/FX,12mm x 12mm Square Bar  4 metre length,Ullrich Aluminum Pty Ltd
R42/N/4ABS14/ID,Sign Board Plate Capping Drilled 1115mm,Ullrich Aluminum Pty Ltd
R43/N/4ABS14/FX,Flat Bar Aluminium Anodised Matt Clear 15um 20mm x 3mm x 4 metre Length,Ullrich Aluminum Pty Ltd
R184/N/PT/YD,Yellow (109C) / Dark Grey (433C) Mouth Guard,Von Pace
R185/N/PT/GD,Green (376C) / Dark Grey (433C) Mouth Guard,Von Pace
R186/N/PT/BD,Blue (2995C) / Dark Grey (433C) Mouth Guard,Von Pace
R187/N/PT/RD,Red (032C) / Dark Grey (433C) Mouth Guard,Von Pace
R188/N/PT/GD,Grey (432C) / Dark Grey (433C) Mouth Guard,Von Pace
R189/N/FL,Plastic Washer,Von Pace
R190/N/FX,Plastic Tread Foot Pedal,Von Pace
R245/N/FX,Sump Mesh Dress Ring - Black Gloss Plastic IM,Von Pace
R246/N/FX,Sump Mesh Underplate Disc - Black Plastic IM,Von Pace
R247/N/FX,Fountain Tray Sump - Black Plastic IM,Von Pace
R248/N/FX,Funnel Fitting - Black Plastic IM,Von Pace
